วันที่ประเมิน,วันที่ประเมิน_adjust
2563-05-29 00:00:00,2020-05-29
2563-10-08 00:00:00,2020-10-08
2563-06-09 00:00:00,2020-06-09
2563-07-22 00:00:00,2020-07-22
2563-05-13 00:00:00,2020-05-13
2563-07-03 00:00:00,2020-07-03
2563-05-26 00:00:00,2020-05-26
2563-05-05 00:00:00,2020-05-05
2563-03-24 00:00:00,2020-03-24
2563-05-11 00:00:00,2020-05-11
2563-01-15 00:00:00,2020-01-15
2563-02-27 00:00:00,2020-02-27
2563-02-27 00:00:00,2020-02-27
2563-02-10 00:00:00,2020-02-10
2563-01-13 00:00:00,2020-01-13
2563-01-13 00:00:00,2020-01-13
2563-01-08 00:00:00,2020-01-08
2563-02-05 00:00:00,2020-02-05
2563-01-30 00:00:00,2020-01-30
2563-02-12 00:00:00,2020-02-12
2563-02-25 00:00:00,2020-02-25
2563-03-06 00:00:00,2020-03-06
2563-09-03 00:00:00,2020-09-03
2563-12-08 00:00:00,2020-12-08
2563-12-03 00:00:00,2020-12-03
2563-11-27 00:00:00,2020-11-27
2563-11-30 00:00:00,2020-11-30
2563-12-16 00:00:00,2020-12-16
2563-11-05 00:00:00,2020-11-05
2563-10-05 00:00:00,2020-10-05
2563-08-14 00:00:00,2020-08-14
2563-07-22 00:00:00,2020-07-22
2563-08-05 00:00:00,2020-08-05
2563-05-19 00:00:00,2020-05-19
2563-05-26 00:00:00,2020-05-26
2563-03-20 00:00:00,2020-03-20
2563-04-22 00:00:00,2020-04-22
2563-02-11 00:00:00,2020-02-11
2563-03-16 00:00:00,2020-03-16
2563-02-26 00:00:00,2020-02-26
2563-03-31 00:00:00,2020-03-31
2563-01-20 00:00:00,2020-01-20
2563-01-29 00:00:00,2020-01-29
2563-02-11 00:00:00,2020-02-11
2563-03-08 00:00:00,2020-03-08
2563-05-15 00:00:00,2020-05-15
2563-04-21 00:00:00,2020-04-21
2563-04-28 00:00:00,2020-04-28
2563-05-12 00:00:00,2020-05-12
2563-02-05 00:00:00,2020-02-05
2563-08-21 00:00:00,2020-08-21
2563-09-18 00:00:00,2020-09-18
2563-12-24 00:00:00,2020-12-24
2563-02-12 00:00:00,2020-02-12
2563-10-30 00:00:00,2020-10-30
2563-04-17 00:00:00,2020-04-17
2563-12-22 00:00:00,2020-12-22
2563-03-25 00:00:00,2020-03-25
2563-10-20 00:00:00,2020-10-20
2563-08-25 00:00:00,2020-08-25
2563-12-08 00:00:00,2020-12-08
2563-03-11 00:00:00,2020-03-11
2563-01-07 00:00:00,2020-01-07
2563-11-20 00:00:00,2020-11-20
2563-03-24 00:00:00,2020-03-24
2563-03-23 00:00:00,2020-03-23
26/12/2563,2020-12-26
2563-12-02 00:00:00,2020-12-02
2563-06-08 00:00:00,2020-06-08
2563-03-24 00:00:00,2020-03-24
2563-09-17 00:00:00,2020-09-17
2563-11-06 00:00:00,2020-11-06
2563-06-15 00:00:00,2020-06-15
2563-06-15 00:00:00,2020-06-15
2563-04-09 00:00:00,2020-04-09
2563-07-30 00:00:00,2020-07-30
2563-11-26 00:00:00,2020-11-26
21/6/2563,2020-06-21
